experiment_id,model_name,label,group,proposed,protocol,image_size,batch_size,learning_rate,epochs_run,best_epoch,training_time_s,total_parameters,model_size_mb,val_accuracy,test_accuracy,test_precision_macro,test_recall_macro,test_f1_macro,test_f1_weighted,test_top3_accuracy,test_top5_accuracy,test_roc_auc_macro_ovr,test_ece,inference_ms_per_image,checkpoint
cnn_baseline__bench__88683620,cnn_baseline,Custom CNN (baseline),benchmark,False,benchmark,160,32,0.0003,12,11,646.91,1248774,4.771,0.956140350877193,0.9583333333333334,0.9586151582194882,0.9583333333333335,0.9577771587006444,0.9577771587006442,0.9949561403508772,0.9975877192982456,0.9995728623360198,0.06696439549457613,2.125337500012847,D:\Data science projects\Plant disease detection\models\checkpoints\cnn_baseline__bench__88683620.pt
cnn_se__bench__a659fd7f,cnn_se,Custom CNN + SE,benchmark,False,benchmark,160,32,0.0003,12,11,748.08,1259782,4.813,0.9605263157894737,0.9603070175438596,0.9608576371642006,0.9603070175438598,0.9598336064606504,0.9598336064606502,0.9953947368421052,0.9984649122807018,0.9996933775881144,0.06255794678275518,4.472115000004351,D:\Data science projects\Plant disease detection\models\checkpoints\cnn_se__bench__a659fd7f.pt
mobilenet_v3_large__bench__cdc23385,mobilenet_v3_large,MobileNetV3-Large,benchmark,False,benchmark,160,32,0.0003,12,10,370.86,3008470,11.57,0.9548245614035088,0.950219298245614,0.9506655879361047,0.950219298245614,0.9497335588422178,0.9497335588422174,0.9925438596491228,0.9975877192982456,0.9993107910542119,0.09567669579399782,13.64365250000219,D:\Data science projects\Plant disease detection\models\checkpoints\mobilenet_v3_large__bench__cdc23385.pt
efficientnet_b0__bench__46505609,efficientnet_b0,EfficientNet-B0,benchmark,False,benchmark,160,31,0.0003,12,9,496.09,4056226,15.634,0.9706140350877193,0.9701754385964912,0.9707433449012332,0.9701754385964912,0.970039053744108,0.970039053744108,0.9964912280701754,0.9982456140350877,0.9997264204994472,0.07208370750018378,19.466277500043816,D:\Data science projects\Plant disease detection\models\checkpoints\efficientnet_b0__bench__46505609.pt
classical__logistic_regression__train_bench,logistic_regression,Logistic Regression (hand-crafted features),classical,False,classical,96,,,,,20.88,,0.0,,0.8723684210526316,0.872610698848163,0.8723684210526316,0.8718503614308064,0.8718503614308064,0.9714912280701754,0.9855263157894737,0.9960139086454877,,0.02461379385969147,
resnet50__bench__97b1d60d,resnet50,ResNet50,benchmark,False,benchmark,160,23,0.0003,12,11,1173.79,23585894,90.176,0.9903508771929824,0.9912280701754386,0.9914268825198354,0.9912280701754386,0.9912120540380606,0.9912120540380606,0.9993421052631579,0.999561403508772,0.9999579678362572,0.06144060472255215,14.19245749999618,D:\Data science projects\Plant disease detection\models\checkpoints\resnet50__bench__97b1d60d.pt
densenet121__bench__b1b5c3fa,densenet121,DenseNet121,benchmark,False,benchmark,160,19,0.0003,12,12,679.3,6992806,26.995,0.980701754385965,0.9780701754385965,0.9781352131363387,0.9780701754385964,0.9779806453831498,0.97798064538315,0.9978070175438597,0.9997807017543859,0.9998191777303619,0.06172063409171083,33.52258999999549,D:\Data science projects\Plant disease detection\models\checkpoints\densenet121__bench__b1b5c3fa.pt
efficientnet_b0_cbam__bench__53a3929d,efficientnet_b0_cbam,EfficientNet-B0 + CBAM,benchmark,True,benchmark,160,31,0.0003,12,9,611.84,4261124,16.416,0.9697368421052631,0.9682017543859649,0.9687698070598403,0.968201754385965,0.9680816300462523,0.9680816300462523,0.9962719298245614,0.9986842105263158,0.9996887841789157,0.07273984219421421,17.842557499989198,D:\Data science projects\Plant disease detection\models\checkpoints\efficientnet_b0_cbam__bench__53a3929d.pt
resnet50_cbam__bench__a7a8af47,resnet50_cbam,ResNet50 + CBAM,benchmark,False,benchmark,160,23,0.0003,12,11,1010.06,24110280,92.176,0.9894736842105263,0.9914473684210526,0.9916754322243762,0.9914473684210527,0.9914433568654919,0.991443356865492,0.999561403508772,0.9997807017543859,0.9999707108424214,0.06121285396317634,15.927767499943002,D:\Data science projects\Plant disease detection\models\checkpoints\resnet50_cbam__bench__a7a8af47.pt
mobilenet_v3_large_cbam__bench__3cc96881,mobilenet_v3_large_cbam,MobileNetV3-Large + CBAM,benchmark,False,benchmark,160,32,0.0003,12,12,473.15,3123768,12.01,0.956140350877193,0.9478070175438597,0.9480207103694597,0.94780701754386,0.9472598640895885,0.9472598640895887,0.9914473684210526,0.9969298245614036,0.9992830824245298,0.09006489559419843,14.240222500006894,D:\Data science projects\Plant disease detection\models\checkpoints\mobilenet_v3_large_cbam__bench__3cc96881.pt
